country,GunDeathsAllCausesTotal2019,totalRate,shareOfDeaths,GunDeathsViolentTotal2019,GunDeathsViolentPct2019,GunDeathsViolentRatePer100k2019,gunViolenceByCountry_suicidesPer100k,gunOwnershipByCountry_firearms,gunOwnershipByCountry_per100,gunOwnershipByCountry_military,gunOwnershipByCountry_lawEnf,population
India,14711.0,1.020378541614199,5.896097858150571,7977.0,0.08,0.5700000000000001,1.0,71101000,5.3,3900000.0,1700000.0,1441719852
China,1126.0,0.079007631479037,0.451295370014107,334.0,0.0,0.02,0.0,49735000,3.6,27466400.0,1971000.0,1425178782
United States,37040.0,10.83628946958996,14.845453379504939,13001.0,0.44,3.96,6.0,393347000,120.5,4535380.0,1016000.0,341814420
Indonesia,439.0,0.156898878161941,0.17594908298063303,153.0,0.01,0.06,0.0,82000,0.0,1711450.0,429000.0,279798049
Pakistan,2948.0,1.202235726167812,1.181544183660382,1721.0,0.11,0.77,0.0,43917000,22.3,2315480.0,944000.0,245209815
Nigeria,5103.0,2.226904049547118,2.045257791458253,3482.0,0.22,1.62,0.0,6154000,3.2,224200.0,362400.0,229152217
Brazil,49437.0,22.715316116060748,19.814111196614082,47510.0,3.37,21.93,0.0,17510000,8.3,1316300.0,803000.0,217637297
Bangladesh,1580.0,0.9044012866058491,0.6332563806592281,1235.0,0.15,0.78,0.0,659000,0.4,410305.0,333000.0,174701211
Russia,2480.0,1.7227357051333332,0.993972040528408,1145.0,0.06,0.78,1.0,17620000,12.3,30272900.0,2432000.0,143957079
Ethiopia,3712.0,2.8615541481399602,1.487751699371553,2293.0,0.41000000000000003,2.13,1.0,377000,0.4,525600.0,79000.0,129719719
Mexico,22119.0,17.095032125235704,8.865188534051558,20509.0,2.7800000000000002,16.41,0.0,16809000,12.9,895285.0,591000.0,129388467
Japan,100.0,0.081545162091885,0.040079517763242006,27.0,0.0,0.02,0.0,377000,0.30000000000000004,745514.0,252000.0,122631432
Philippines,9268.0,7.781289414397017,3.714569706297293,9028.0,1.4100000000000001,8.05,0.0,3776000,3.6,454700.0,139043.0,119106224
Egypt,816.0,0.712761786660404,0.327048864948056,367.0,0.07,0.37,0.0,3931000,4.1,1544750.0,1530000.0,114484252
DR Congo,1325.0,1.254436515921772,0.5310536103629601,382.0,0.07,0.44,0.0,946000,1.2,161100.0,46000.0,105625114
Vietnam,506.0,0.508554571322668,0.202802359882005,128.0,0.02,0.13,0.0,1562000,1.6,3829200.0,285000.0,99497680
Iran,873.0,0.9720544803466341,0.349894190073105,525.0,0.13,0.62,0.0,5890000,7.3,3333550.0,98000.0,89809781
Turkey,2232.0,2.587513575316938,0.894574836475567,967.0,0.21,1.19,0.0,13249000,16.5,1390180.0,620000.0,86260417
Germany,1020.0,1.2251888154098571,0.40881108118507103,84.0,0.01,0.1,0.0,15822000,19.6,483016.0,466000.0,83252474
Thailand,2804.0,3.900631333318003,1.123829678081313,2351.0,0.47000000000000003,3.35,0.0,10342000,15.1,1052815.0,230000.0,71885799
Tanzania,1685.0,2.427286806321945,0.675339874310632,1159.0,0.33,2.04,0.0,427000,0.8,190050.0,37000.0,69419073
United Kingdom,161.0,0.23689904505994902,0.06452802359882001,27.0,0.0,0.04,0.0,3584000,5.1,539680.0,46000.0,67961439
France,2097.0,3.232029676105004,0.8404674874951901,222.0,0.04,0.34,2.0,12732000,19.6,566430.0,497000.0,64881830
South Africa,3610.0,5.916071657623134,1.446870591253046,2937.0,0.56,5.28,0.0,5351000,9.7,350636.0,250481.0,61020221
Italy,797.0,1.357803461748036,0.31943375657304,225.0,0.03,0.37,0.0,8609000,14.4,502960.0,273000.0,58697744
Kenya,2098.0,3.732894827912303,0.8408682826728221,1533.0,0.52,3.05,0.0,750000,1.5,45790.0,51527.0,56203030
Myanmar,365.0,0.6640626435580621,0.146290239835834,211.0,0.05,0.39,0.0,877000,1.6,788900.0,76600.0,54964694
Colombia,13171.0,25.163938156512547,5.278873284596639,12596.0,5.1,26.36,1.0,4971000,10.1,350689.0,283000.0,52340774
South Korea,44.0,0.08503736126130301,0.017634987815826002,13.0,0.0,0.02,0.0,79000,0.2,2688020.0,115000.0,51741963
Uganda,1108.0,2.219362245026725,0.44408105681672405,799.0,0.33,1.94,0.0,331000,0.8,116660.0,54000.0,49924252
Sudan,451.0,0.9137281022325191,0.18075862511222202,207.0,0.1,0.51,0.0,2768000,6.6,590170.0,129000.0,49358228
Spain,303.0,0.638252521050063,0.12144093882262401,70.0,0.02,0.15,0.0,3464000,7.5,333660.0,264196.0,47473373
Iraq,4424.0,9.509140693733512,1.7731178658458382,2649.0,1.47,6.29,1.0,7588000,19.6,611000.0,56000.0,46523657
Algeria,254.0,0.548848001537465,0.10180197511863501,135.0,0.07,0.32,0.0,877000,2.1,637720.0,363000.0,46278751
Argentina,3309.0,7.184440547028384,1.3262312427856862,1709.0,0.49,3.79,2.0,3256000,7.4,679770.0,391000.0,46057866
Afghanistan,621.0,1.431767956756457,0.248893805309734,434.0,0.17,1.13,1.0,4270000,12.5,331170.0,239000.0,43372950
Poland,111.0,0.27597025547834503,0.044488264717198,35.0,0.01,0.09,0.0,968000,2.5,307200.0,188000.0,40221726
Canada,875.0,2.2374484638906242,0.350695780428369,170.0,0.06,0.47000000000000003,1.0,12708000,34.7,233949.0,103000.0,39107046
Morocco,659.0,1.724613551133967,0.26412402205976604,171.0,0.07,0.48,0.0,1690000,4.8,588020.0,91000.0,38211459
Ukraine,917.0,2.41711299128118,0.367529177888931,289.0,0.04,0.66,0.0,4396000,9.9,6600000.0,289000.0,37937821
Angola,417.0,1.103039378717434,0.16713158907272002,161.0,0.09,0.53,0.0,2982000,11.2,203300.0,60000.0,37804634
Saudi Arabia,534.0,1.424990691528502,0.21402462485571302,80.0,0.06,0.22,0.0,5468000,16.7,481350.0,214000.0,37473929
Uzbekistan,58.0,0.16258428733868602,0.02324612030268,29.0,0.01,0.09,0.0,127000,0.4,268400.0,150000.0,35673804
Yemen,472.0,1.340153236868989,0.18917532384250302,243.0,0.14,0.77,0.0,14859000,52.8,28500.0,,35219853
Mozambique,991.0,2.842930091861354,0.39718802103373,595.0,0.22,2.01,1.0,1337000,4.5,60000.0,24000.0,34858402
Ghana,478.0,1.3744510031508281,0.19158009490829803,229.0,0.11,0.73,0.0,2280000,8.0,18600.0,28000.0,34777522
Peru,879.0,2.534350394960777,0.352298961138899,511.0,0.33,1.5,0.0,633000,2.0,473400.0,142000.0,34683444
Malaysia,179.0,0.51626829165236,0.07174233679620301,122.0,0.07,0.39,0.0,217000,0.7000000000000001,428170.0,102000.0,34671895
Nepal,192.0,0.614590473879664,0.076952674105425,30.0,0.02,0.1,0.0,444000,1.5,183540.0,62000.0,31240315
Madagascar,447.0,1.439307123346688,0.179155444401692,109.0,0.1,0.59,1.0,168000,0.7000000000000001,25320.0,20000.0,31056610
Ivory Coast,1017.0,3.435427574937418,0.40760869565217306,707.0,0.39,2.7,2.0,1049000,4.4,33045.0,15000.0,29603302
Venezuela,10599.0,36.05674288307117,4.248028087726048,9338.0,4.99,33.27,3.0,5895000,18.5,353300.0,173000.0,29395334
Cameroon,589.0,2.003780783932794,0.23606835962549702,288.0,0.14,0.99,1.0,510000,2.1,27360.0,15000.0,29394433
Niger,778.0,2.7550577974297363,0.311818648198024,528.0,0.26,2.27,1.0,117000,0.5,11110.0,10000.0,28238972
Australia,240.0,0.8988938437082781,0.096190842631781,45.0,0.03,0.18,0.0,3573000,14.5,214520.0,69000.0,26699482
North Korea,93.0,0.35435885395317,0.037273951519815,36.0,0.02,0.14,0.0,76000,0.30000000000000004,8363100.0,76000.0,26244582
Syria,180.0,0.739278824471098,0.07214313197383601,146.0,0.17,1.0,0.0,1547000,8.2,655500.0,124000.0,24348053
Mali,1105.0,4.601139691891864,0.442878671283827,841.0,0.42,3.83,1.0,206000,1.1,15800.0,3000.0,24015789
Taiwan,51.0,0.212941729873478,0.020440554059253,30.0,0.02,0.13,0.0,10000,0.0,2022150.0,76000.0,23950214
Burkina Faso,992.0,4.161030714153255,0.39758881621136305,682.0,0.34,3.01,1.0,175000,0.9,43780.0,43000.0,23840247
Sri Lanka,311.0,1.416903743669264,0.124647300243683,223.0,0.16,1.02,0.0,494000,2.4,509700.0,134000.0,21949268
Malawi,318.0,1.480725287183875,0.12745286648711002,,0.09,0.59,1.0,47000,0.30000000000000004,24480.0,8400.0,21475962
Zambia,742.0,3.51081480002432,0.297390021803257,537.0,0.43,2.95,1.0,158000,0.9,41040.0,16000.0,21134695
Kazakhstan,209.0,1.054056187246777,0.08376619212517601,107.0,0.08,0.58,0.0,504000,2.8,375690.0,65000.0,19828165
Chile,503.0,2.5586455029211033,0.201599974349108,345.0,0.31,1.9,0.0,2220000,12.1,311900.0,66000.0,19658839
Romania,31.0,0.15801012447324,0.012424650506605002,13.0,0.0,0.07,0.0,506000,2.6,240180.0,251000.0,19618996
Chad,623.0,3.305539915110763,0.24969539566499901,380.0,0.24,2.32,1.0,151000,1.0,25020.0,34000.0,18847148
Somalia,1313.0,7.018792295172878,0.526244068231371,783.0,0.42,3.85,1.0,1145000,12.4,37620.0,8000.0,18706922
Ecuador,1127.0,6.132543361625199,0.45169616519174005,989.0,1.07,5.62,0.0,402000,2.4,253668.0,41000.0,18377367
Guatemala,5981.0,32.57903862149432,2.3971559574195203,5165.0,5.45,29.06,0.0,2062000,12.1,160600.0,43000.0,18358430
Senegal,241.0,1.322608533064143,0.096591637809413,63.0,0.07,0.42,1.0,323000,2.0,16320.0,6000.0,18221567
Netherlands,85.0,0.481010688340442,0.034067590098755006,38.0,0.02,0.22,0.0,442000,2.6,108676.0,96000.0,17671125
Cambodia,200.0,1.168098278182254,0.08015903552648401,163.0,0.15,0.98,0.0,717000,4.5,258670.0,64000.0,17121847
Zimbabwe,253.0,1.486458451635548,0.101401179941002,119.0,0.09,0.79,3.0,455000,2.8,91580.0,23000.0,17020321
Guinea,477.0,3.2831409678864762,0.19117929973066503,283.0,0.25,2.24,1.0,130000,1.0,23080.0,13000.0,14528770
Rwanda,251.0,1.7412526335578922,0.100599589585738,134.0,0.2,1.06,1.0,66000,0.5,66500.0,14000.0,14414910
Benin,424.0,3.011348237423786,0.169937155316147,275.0,0.29,2.17,1.0,33000,0.30000000000000004,8700.0,26000.0,14080072
Burundi,222.0,1.633354932367702,0.088976529434397,31.0,0.04,0.26,1.0,238000,2.0,75960.0,24278.0,13591657
Bolivia,452.0,3.596625410508639,0.18115942028985502,306.0,0.4,2.54,0.0,218000,2.0,87590.0,42000.0,12567336
Tunisia,80.0,0.6367049753479771,0.032063614210593006,24.0,0.04,0.21,0.0,123000,1.1,68020.0,73000.0,12564689
Haiti,1975.0,16.6427488596557,0.7915704758240341,1268.0,1.27,10.22,0.0,291000,2.6,380.0,15000.0,11867030
Belgium,228.0,1.9460942145179652,0.09138130050019201,41.0,0.04,0.36,1.0,1451000,12.7,80880.0,78000.0,11715774
Dominican Republic,1525.0,13.33740889565817,0.611212645889444,1288.0,1.82,11.84,0.0,795000,7.4,106495.0,46000.0,11434005
Jordan,195.0,1.712791708190886,0.078155059638322,177.0,0.55,1.52,0.0,1473000,18.7,286450.0,60000.0,11384922
South Sudan,295.0,2.615922615511162,0.11823457740156401,202.0,0.28,2.18,1.0,1255000,9.6,351500.0,,11277092
Cuba,79.0,0.7069612505589691,0.031662819032961004,32.0,0.03,0.28,0.0,234000,2.1,958100.0,42000.0,11174587
Honduras,2092.0,19.443452547473346,0.838463511607028,1978.0,3.73,20.15,0.0,1171000,14.1,107720.0,29000.0,10759406
Sweden,151.0,1.414696296090875,0.060520071822495004,24.0,0.03,0.24,1.0,2296000,23.1,139180.0,38000.0,10673669
Papua New Guinea,141.0,1.34084102874649,0.056512120046171004,97.0,0.14,0.98,1.0,79000,1.0,7200.0,4800.0,10515788
Czech Republic,166.0,1.580390364036256,0.066531999486982,17.0,0.01,0.16,1.0,1323000,12.5,157233.0,76000.0,10503734
Azerbaijan,56.0,0.535224255139873,0.022444529947415002,29.0,0.04,0.28,0.0,362000,3.6,537920.0,18000.0,10462904
Tajikistan,40.0,0.38716497767558306,0.016031807105296,17.0,0.03,0.18,0.0,37000,0.4,56490.0,9000.0,10331513
Greece,148.0,1.436513852652503,0.05931768628959801,41.0,0.03,0.39,0.0,1920000,17.6,642510.0,99000.0,10302720
Portugal,211.0,2.063902934351551,0.084567782480441,47.0,0.04,0.44,1.0,2186000,21.3,333640.0,89000.0,10223349
Hungary,57.0,0.570285541970864,0.022845325125048003,7.0,0.01,0.07,0.0,1023000,10.5,147880.0,17000.0,9994993
United Arab Emirates,89.0,0.927870766993614,0.035670770809285005,38.0,0.13,0.41000000000000003,0.0,1569000,16.7,163800.0,41000.0,9591853
Belarus,108.0,1.142248306378917,0.043285879184301004,45.0,0.04,0.48,0.0,581000,6.1,780600.0,165000.0,9455037
Israel,201.0,2.158585823439278,0.080559830704116,95.0,0.2,1.02,1.0,557000,6.7,1016900.0,41000.0,9311652
Togo,268.0,2.89389845267137,0.10741310760548901,176.0,0.33,2.22,1.0,58000,0.8,12850.0,5000.0,9260864
Sierra Leone,157.0,1.7487245449194981,0.06292484288829,43.0,0.06,0.52,1.0,35000,0.5,10200.0,12000.0,8977972
Austria,237.0,2.640039326560499,0.09498845709888401,13.0,0.02,0.15,1.0,2577000,30.0,240880.0,37900.0,8977139
Switzerland,239.0,2.700128374722686,0.09579004745414901,18.0,0.03,0.21,2.0,2332000,27.6,324484.0,34000.0,8851431
Laos,192.0,2.481684329494779,0.076952674105425,175.0,0.39,2.45,0.0,215000,3.0,224690.0,21000.0,7736681
Nicaragua,225.0,3.150144717648329,0.090178914967295,187.0,0.64,2.87,0.0,323000,5.2,261800.0,8590.0,7142529
Serbia,300.0,4.227121550034747,0.120238553289726,79.0,0.07,0.9,2.0,2719000,39.1,384422.0,53100.0,7097028
Libya,70.0,1.00514100907829,0.028055662434269,46.0,0.15,0.68,0.0,851000,13.3,,,6964197
Paraguay,624.0,8.981945426045051,0.250096190842631,513.0,1.5,7.4,1.0,1140000,16.7,235780.0,21000.0,6947270
Kyrgyzstan,45.0,0.657932635300922,0.018035782993459003,26.0,0.08,0.4,0.0,171000,2.8,145010.0,18000.0,6839606
Bulgaria,121.0,1.8281770430822761,0.048496216493523,40.0,0.03,0.5700000000000001,0.0,590000,8.4,176640.0,59400.0,6618615
Turkmenistan,57.0,0.863888854788013,0.022845325125048003,33.0,0.1,0.64,0.0,23000,0.4,184700.0,27000.0,6598071
El Salvador,2314.0,36.17722713904891,0.9274400410414261,2301.0,5.72,36.78,0.0,737000,12.0,127840.0,30000.0,6396289
Republic of the Congo,90.0,1.441257468315956,0.036071565986918006,43.0,0.12,0.8200000000000001,0.0,119000,2.4,12000.0,11000.0,6244547
Singapore,3.0,0.049564583395633,0.001202385532897,1.0,0.0,0.01,0.0,20000,0.30000000000000004,574140.0,9000.0,6052709
Denmark,64.0,1.077496403434856,0.025650891368475003,8.0,0.01,0.14,1.0,567000,9.9,124120.0,20000.0,5939695
Central African Republic,187.0,3.161118846742703,0.07494869821726301,59.0,0.09,1.12,1.0,94000,1.8,8580.0,10000.0,5915627
Slovakia,75.0,1.31513605871609,0.030059638322431,15.0,0.03,0.28,0.0,355000,6.5,33150.0,43000.0,5702832
Finland,161.0,2.900960488197415,0.06452802359882001,12.0,0.02,0.22,2.0,1793000,32.4,475030.0,14000.0,5549886
Liberia,93.0,1.679625367688956,0.037273951519815,40.0,0.13,0.8300000000000001,1.0,97000,2.1,2520.0,5000.0,5536949
Norway,77.0,1.396324619723683,0.030861228677696,4.0,0.01,0.07,1.0,1537000,28.8,188646.0,13000.0,5514477
Palestine,265.0,4.822598441518169,0.10621072207259201,231.0,1.3900000000000001,4.67,0.0,56000,1.1,44410.0,33000.0,5494963
New Zealand,49.0,0.929802033761681,0.019638963703988002,7.0,0.02,0.15,0.0,1212000,26.3,38280.0,13000.0,5269939
Costa Rica,420.0,8.005010374112254,0.16833397460561703,355.0,1.45,7.52,1.0,493000,10.0,,17000.0,5246714
Lebanon,82.0,1.571168972708411,0.032865204565858,70.0,0.21,1.35,0.0,1927000,31.9,130150.0,41000.0,5219044
Ireland,29.0,0.569803032845411,0.01162306015134,9.0,0.03,0.18,0.0,342000,7.2,26636.0,3000.0,5089478
Mauritania,89.0,1.7821664014776362,0.035670770809285005,63.0,0.30000000000000004,1.57,0.0,120000,2.8,22820.0,10000.0,4993922
Oman,4.0,0.08486167440994001,0.001603180710529,1.0,0.01,0.03,0.0,792000,16.7,118360.0,31000.0,4713553
Panama,459.0,10.1370131058991,0.18396498653328203,449.0,2.26,10.8,0.0,436000,10.8,,30000.0,4527961
Kuwait,19.0,0.436843872000147,0.007615108375016001,15.0,0.15,0.34,0.0,685000,16.7,82580.0,11000.0,4349380
Croatia,98.0,2.458218438795503,0.039277927407977004,16.0,0.03,0.37,2.0,576000,13.7,75120.0,39000.0,3986627
Eritrea,354.0,9.27271769996786,0.141881492881877,241.0,0.55,3.6,1.0,23000,0.4,668550.0,12000.0,3817651
Georgia,103.0,2.770735119067634,0.041281903296139004,46.0,0.09,1.25,0.0,402000,10.1,63950.0,41000.0,3717425
Mongolia,31.0,0.887329478888571,0.012424650506605002,8.0,0.03,0.23,0.0,242000,7.9,323400.0,7000.0,3493629
Uruguay,383.0,11.18798264606598,0.153504553033217,140.0,0.41000000000000003,4.07,4.0,1198000,34.7,62130.0,30000.0,3423316
Moldova,23.0,0.6907186927998581,0.009218289085545001,12.0,0.03,0.31,0.0,121000,3.0,98600.0,21000.0,3329865
Bosnia and Herzegovina,37.0,1.158284961892425,0.014829421572399,9.0,0.02,0.27,0.0,1185000,31.2,27300.0,29000.0,3194378
Gambia,30.0,1.05566782778398,0.012023855328972,5.0,0.04,0.22,1.0,137000,6.5,1080.0,5000.0,2841803
Albania,70.0,2.476981762337138,0.028055662434269,40.0,0.18,1.47,1.0,350000,12.0,21750.0,19000.0,2826020
Jamaica,397.0,14.054400797525293,0.15911568552007102,308.0,1.56,10.97,0.0,246000,8.8,8681.0,12000.0,2824738
Armenia,51.0,1.8358670097938101,0.020440554059253,21.0,0.07,0.68,0.0,186000,6.1,509240.0,18000.0,2777979
Qatar,7.0,0.255748775785413,0.002805566243426,4.0,0.09,0.14,0.0,390000,16.7,30680.0,5000.0,2737061
Botswana,121.0,4.449029927631565,0.048496216493523,88.0,0.41000000000000003,3.76,1.0,97000,4.1,17100.0,11000.0,2719694
Lithuania,28.0,1.039810635628814,0.011222264973707001,9.0,0.02,0.30000000000000004,0.0,385000,13.6,81240.0,17000.0,2692798
Namibia,106.0,4.006342115159658,0.042484288829036,81.0,0.42,3.36,1.0,396000,15.4,11880.0,15000.0,2645805
Gabon,28.0,1.126961466370061,0.011222264973707001,14.0,0.12,0.78,0.0,61000,3.4,5640.0,4000.0,2484557
Lesotho,181.0,7.682242094187683,0.072543927151468,116.0,0.36,5.54,2.0,105000,4.8,2400.0,5000.0,2356083
Guinea-Bissau,87.0,3.95967683575397,0.03486918045402,55.0,0.37,2.89,2.0,29000,1.5,10260.0,4000.0,2197149
Slovenia,36.0,1.6989426441682611,0.014428626394767,4.0,0.02,0.2,1.0,324000,15.6,131686.0,13000.0,2118965
North Macedonia,45.0,2.160650615113222,0.018035782993459003,24.0,0.1,1.13,,621000,29.8,29530.0,21000.0,2082706
Latvia,26.0,1.43627364327382,0.010420674618442,8.0,0.03,0.43,1.0,205000,10.5,27936.0,17000.0,1810240
Equatorial Guinea,15.0,0.85470426377769,0.006011927664486,9.0,0.12,0.62,0.0,112000,12.5,2760.0,2000.0,1754993
Trinidad and Tobago,222.0,14.432453517097908,0.088976529434397,217.0,1.8399999999999999,15.62,0.0,43000,3.2,7695.0,9000.0,1538200
Bahrain,9.0,0.600515642765254,0.0036071565986910002,6.0,0.15,0.43,0.0,181000,12.8,25796.0,20000.0,1498712
Timor-Leste,13.0,0.9421088599540681,0.005210337309221,11.0,0.14,0.8300000000000001,0.0,3000,0.30000000000000004,2527.0,4000.0,1379883
Estonia,17.0,1.288815131599396,0.0068135180197510005,4.0,0.02,0.28,1.0,65000,5.0,38760.0,18000.0,1319041
Mauritius,4.0,0.30722485326172905,0.001603180710529,3.0,0.02,0.21,0.0,106000,8.3,4845.0,11000.0,1301978
Cyprus,19.0,1.49787105222288,0.007615108375016001,8.0,0.09,0.63,0.0,285000,34.0,99000.0,11000.0,1268467
Djibouti,51.0,4.425819362352245,0.020440554059253,38.0,0.5,3.16,0.0,28000,3.1,19855.0,5000.0,1152329
Fiji,1.0,0.10603644260459401,0.00040079517763200005,1.0,0.02,0.15,0.0,5000,0.5,16700.0,2000.0,943072
Comoros,30.0,3.45779473377862,0.012023855328972,21.0,0.43,2.99,1.0,12000,1.5,600.0,2000.0,867605
Guyana,92.0,11.22506997366989,0.036873156342182,84.0,1.26,10.94,0.0,122000,15.8,10890.0,4000.0,819594
Bhutan,4.0,0.5048070248945581,0.001603180710529,1.0,0.02,0.11,0.0,6000,0.8,15200.0,4000.0,792382
Solomon Islands,28.0,3.700409556043364,0.011222264973707001,12.0,0.19,1.77,1.0,1000,0.2,,70.0,756673
Luxembourg,7.0,1.058050707835923,0.002805566243426,1.0,0.03,0.23,1.0,110000,18.9,2340.0,5000.0,661594
Suriname,27.0,4.293995562871252,0.010821469796075001,17.0,0.39,2.94,1.0,88000,15.9,5985.0,2000.0,628785
Montenegro,28.0,4.472114767242398,0.011222264973707001,7.0,0.1,1.07,2.0,245000,39.1,5396.0,8000.0,626102
Cape Verde,41.0,6.782902453590885,0.016432602282929,34.0,0.98,6.11,1.0,31000,5.7,,19000.0,604461
Malta,5.0,0.93154972612438,0.002003975888162,2.0,0.06,0.48,0.0,119000,28.3,5547.0,1637.0,536740
Maldives,1.0,0.19309231550511902,0.00040079517763200005,1.0,0.06,0.18,0.0,23000,6.2,9500.0,3000.0,517887
Brunei,0.0,,,0.0,0.02,0.08,0.0,6000,1.4,20220.0,4000.0,0
Belize,82.0,19.680503820897815,0.032865204565858,67.0,3.34,16.22,0.0,37000,10.0,3690.0,2000.0,416656
Bahamas,82.0,19.748424340655504,0.032865204565858,81.0,2.9699999999999998,21.52,0.0,74000,18.8,2470.0,5000.0,415223
Iceland,4.0,1.05907241142845,0.001603180710529,0.0,0.01,0.06,1.0,106000,31.7,650.0,590.0,377689
Vanuatu,4.0,1.168480245380851,0.001603180710529,0.0,0.02,0.16,1.0,11000,3.9,,350.0,342325
Barbados,15.0,5.313326886496711,0.006011927664486,12.0,0.4,4.19,0.0,10000,3.5,1675.0,2000.0,282309
Sao Tome and Principe,4.0,1.6921833819130971,0.001603180710529,3.0,0.31,1.55,0.0,7000,3.4,570.0,300.0,236381
Samoa,3.0,1.3102382013049971,0.001202385532897,2.0,0.13,0.86,0.0,20000,10.1,,500.0,228966
Saint Lucia,20.0,11.061640994441525,0.008015903552648,17.0,1.24,9.96,0.0,6000,3.4,,831.0,180805
Guam,4.0,2.297345417370228,0.001603180710529,1.0,0.09,0.5700000000000001,1.0,20000,11.5,,500.0,174114
Kiribati,0.0,,,0.0,0.04,0.38,0.0,900,0.8,,200.0,0
Grenada,2.0,1.576205600258497,0.0008015903552640001,1.0,0.09,0.72,0.0,5000,4.6,,1000.0,126887
Micronesia,2.0,1.71969045571797,0.0008015903552640001,1.0,0.13,1.22,1.0,700,0.7000000000000001,,200.0,116300
Tonga,0.0,,,0.0,0.03,0.2,0.0,9000,8.0,,200.0,0
Seychelles,2.0,1.8473532046959722,0.0008015903552640001,2.0,0.24,1.8900000000000001,0.0,4000,4.1,798.0,200.0,108263
Saint Vincent and the Grenadines,13.0,12.538217451269734,0.005210337309221,11.0,1.04,9.43,0.0,4000,3.4,,854.0,103683
United States Virgin Islands,23.0,23.45622354800877,0.009218289085545001,20.0,1.57,19.4,,18000,16.6,,300.0,98055
Antigua and Barbuda,6.0,6.328045899426257,0.002404771065794,2.0,0.30000000000000004,2.04,0.0,5000,5.4,438.0,800.0,94816
Andorra,1.0,1.244694489737493,0.00040079517763200005,0.0,0.01,0.09,0.0,10000,14.1,,976.0,80341
Dominica,2.0,2.725984080252971,0.0008015903552640001,2.0,0.33,3.59,0.0,5000,6.2,,600.0,73368
Bermuda,1.0,1.564088527410651,0.00040079517763200005,1.0,0.16,1.42,0.0,3000,4.6,,500.0,63935
Greenland,10.0,17.609044005000968,0.004007951776324,1.0,0.25,2.18,22.0,13000,22.3,,300.0,56789
Northern Mariana Islands,1.0,1.999000499750125,0.00040079517763200005,0.0,0.12,1.02,,1000,2.6,,80.0,50025
Saint Kitts and Nevis,9.0,18.809956737099505,0.0036071565986910002,7.0,1.43,12.08,,2000,3.4,,450.0,47847
American Samoa,0.0,,,0.0,0.06,0.42,0.0,400,0.7000000000000001,,90.0,0
Marshall Islands,2.0,4.715312978898974,0.0008015903552640001,1.0,0.15,1.09,1.0,300,0.5,,80.0,42415
Monaco,1.0,2.765716182205382,0.00040079517763200005,0.0,0.01,0.09,,7000,19.6,,1000.0,36157
San Marino,1.0,2.97495091330993,0.00040079517763200005,0.0,0.01,0.08,,5000,14.4,,160.0,33614
Palau,0.0,,,0.0,0.07,0.86,,100,0.5,,30.0,0
Tuvalu,0.0,,,0.0,0.12,1.1,,100,1.2,,26.0,0
